2,1,12326.528705455923,12326.738750641878
2,1,12327.75811674447,12327.444279854573
2,6,12292.161142653067,12295.659509302386
2,11,12299.499254101052,12300.60568432985
3,1,11849.20205112936,11849.519213639702
3,6,11836.156355984669,11838.527932407236
3,11,11838.598886135984,11839.605333329599
4,1,11483.978486997928,11493.995450368133
4,6,11422.175237138134,11440.27002452061
4,11,11391.044944784542,11402.564728039546
4,16,11381.453944716603,11389.730538926964
4,21,11390.411945187328,11401.529062643958
5,1,11161.017127445846,11191.196887635506
5,6,11044.887804665414,11068.862881932833
5,11,11034.957245092415,11059.464116963818
5,16,11030.181937695737,11057.52140921757
5,21,11025.18378307451,11049.497864887953
5,26,11038.526305257887,11063.316348449765
6,1,10837.666002720938,10881.391551132263
6,6,10740.129125307589,10778.487815255896
6,11,10719.826525847602,10766.889068338643
3,15,11842.788649349513,11843.630063877215
2,25,12307.153423850388,12308.096267908662
6,16,10714.881302960133,10754.785741220025
6,21,10709.821201734594,10752.816648887014
6,26,10705.31051638001,10749.115427235969
6,31,10712.91633160738,10759.121989359974
7,1,10530.648794287237,10609.433799502247
7,6,10364.675321992445,10435.38364811479
7,11,10334.072117491813,10407.514212176062
7,16,10346.25914951943,10421.548047431836
8,1,10230.865142581803,10352.173250666796
1,1,12915.121366173851,12915.529102527344
1,3,12911.611252351697,12911.731014045157
1,5,12908.775359884541,12908.529250221489
1,7,12908.997653522329,12909.071273738842
1,9,12908.960465920565,12909.110173861123
1,11,12910.275801782118,12910.039637500284
1,13,12909.607964367295,12909.439348253514
1,15,12909.158207941227,12908.926473434427
1,17,12910.725547538328,12910.792524219525
1,19,12910.938170738165,12911.0401367449
1,21,12909.53903626313,12909.326599367047
1,23,12909.632690847082,12909.594593241089
