3,10843519431810.191
4,6569456925277.774
5,4493726797263.495
6,3275752600726.82
7,2631436075797.534
8,2019593410888.8306
9,1625888108157.9001
10,1279476334442.3872
11,1047394006243.9185
12,897349934919.2228
13,799044596703.6
14,676626225366.5251
15,593142316972.8329
16,529659847678.34467
17,453861302763.46674
18,421849094884.7793
19,361526844183.53186
20,325088103810.12964
21,289631147249.15686
22,263071831337.48465
23,248108155301.31396
24,216294829698.4022
25,195817003591.56073
26,185218682492.96704
27,163865217602.23218
28,145982541247.396
29,136074993817.86989
30,127707956787.00565
31,116530372401.37599
32,112487414515.62483
33,103532155272.40958
34,92167591658.83565
35,85614378700.43349
36,79032383893.04718
37,75437807974.90091
38,69724916956.35077
39,68137049675.889206
40,61324805906.5755
41,58214804600.597534
42,54885945188.45833
43,51463935666.14196
44,49633359647.58794
45,44400634888.825096
46,42293882510.56523
47,39877013435.63323
48,37042541541.645195
49,34283154589.445118
50,32555013992.215977
51,31324020742.88764
52,28604709623.4648
53,28331194024.112923
